Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.679","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1984","1984","°C","0.178","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1985","1985","°C","0.099","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.146","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1987","1987","°C","0.68","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.645","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.103","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1990","1990","°C","0.466","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.411","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.419","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.267","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1994","1994","°C","0.351","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.675","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1996","1996","°C","0.49","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.46","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1998","1998","°C","0.842","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.366","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.525","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.493","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.823","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.877","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.651","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2005","2005","°C","1.007","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.795","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.684","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.475","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.924","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.007","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.708","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.623","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.714","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.783","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.123","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2016","2016","°C","0.995","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.02","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.746","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1961","1961","°C","-0.065","Fc","Calculated data"
